midpoint_index,window,assignment_score,null_mean,null_std,z,empirical_p,median_assignment_margin,graph_score,graph_null_mean,graph_null_std,graph_z,graph_empirical_p,mismatched_window_graph_score,shuffled_layer_temporal_score
111,8,0.6702372767267362,0.40020051548299224,0.011717565805723884,23.045465732467605,0.004975124378109453,-0.003961182017579418,0.44006557465629964,0.040706065655707724,0.023552026734649588,16.956481643809312,0.004975124378109453,0.27005401620540187,0.6702921510646672
95,8,0.6660987803950045,0.40549509847928206,0.012349049981125125,21.10313605613723,0.004975124378109453,0.004313416485424548,0.4,0.03961111111111111,0.025560956388008923,14.09919423273041,0.004975124378109453,0.18518518518518517,0.683005550195097
103,8,0.6621291922075024,0.40724064422939804,0.011921755101496291,21.380119437792636,0.004975124378109453,-0.045984046247397437,0.5247781977776373,0.03396206072409992,0.025141436548207767,19.522199382378798,0.004975124378109453,0.4183300132670377,0.6651754249872072
99,8,0.6614770382265951,0.4203151895797423,0.013313723289693736,18.113779549071612,0.004975124378109453,-0.0761358692768776,0.6677577748708329,0.025756371316446414,0.02460584974409025,26.091413636652813,0.004975124378109453,0.3958977750648687,0.6683774060816702
115,8,0.648269119338412,0.3991977066326888,0.012607320704968488,19.756093981774043,0.004975124378109453,-0.03185907180390063,0.31070887689050725,0.04660633153357608,0.02549643863979672,10.35840923071901,0.004975124378109453,0.1409882117092723,0.6510220642309371
119,8,0.6470829207060455,0.40117677804910146,0.010931665307626208,22.4948473756687,0.004975124378109453,-0.016133156993410613,0.34528826491882486,0.0439578521877427,0.02368145076267173,12.724322329359108,0.004975124378109453,0.23824722996395442,0.6539417294730221
107,8,0.6454378215383816,0.4020873584203833,0.011728280689650192,20.749031299425397,0.004975124378109453,-0.025984198471620423,0.40967324519935133,0.03715508737710784,0.02178005252377797,17.10363909432972,0.004975124378109453,0.3440623650762139,0.6377063671896666
87,8,0.6356545899177416,0.40505315461323904,0.012421264310202289,18.565053407252314,0.004975124378109453,-0.03338251421789337,0.37932969492808744,0.04128857833255721,0.023589051467629577,14.330424309744378,0.004975124378109453,0.351034403057332,0.6334141757580121
91,8,0.6311299268680163,0.4042268351326658,0.013172966050667713,17.2249052235164,0.004975124378109453,-0.030502003313909037,0.45727873412480935,0.03266276672320067,0.022580942173992695,18.804174074306545,0.004975124378109453,0.28573838340637214,0.6352122837082819
99,16,0.6285745130387056,0.4015550003208719,0.011313614965756169,20.066045504020774,0.004975124378109453,-0.022927042434956135,0.2829321334847201,0.06190938717436843,0.021420014567333695,10.318515219285585,0.004975124378109453,0.18427434427242975,0.6339705519192417
95,16,0.6250795458922781,0.3986727496925005,0.011652005106748325,19.43071549708237,0.004975124378109453,-0.006534694664907081,0.3744978507930857,0.06272839000784186,0.023100415555357523,13.496270663968087,0.004975124378109453,0.12386632346660954,0.6187521535211458
115,16,0.6232517841942088,0.40045614036081906,0.012736616806696474,17.49252939102725,0.004975124378109453,-0.0014135849207688733,0.34822378037985674,0.06506151661361882,0.022228755849024787,12.738556565623565,0.004975124378109453,0.1438410316270006,0.6349435270122994
111,16,0.6215300822098867,0.39609806454104485,0.012585138975081301,17.91255687483463,0.004975124378109453,-0.010260903567159363,0.30000142012842695,0.06080798015680038,0.023892638807963374,10.011177161892382,0.004975124378109453,0.2085058457344948,0.6335189584279816
119,16,0.6211299393696834,0.40016491371234103,0.011396911016125805,19.388150468551775,0.004975124378109453,-0.004142714152719884,0.296078262731896,0.08271001098723428,0.021130304161668573,10.097736885951807,0.004975124378109453,0.14914890045913257,0.6317247833730946
87,32,0.6115175509224559,0.39930090634322907,0.011196420263609863,18.953972750466008,0.004975124378109453,-0.02190391459300195,0.25333550220779694,0.12949593623630448,0.021977980903650163,5.6347107823232685,0.004975124378109453,0.1852922943169368,0.6154648263600756
103,16,0.6093043748934536,0.39486968930211724,0.011439186011294468,18.745624503318197,0.004975124378109453,-0.03045835567498406,0.33516225003373823,0.0654484640305608,0.02319729478280935,11.62694997535024,0.004975124378109453,0.15326077978208227,0.6201275100654631
99,32,0.6058147533173397,0.3973580448047126,0.01171101193100029,17.8000594432681,0.004975124378109453,-0.019233276604149918,0.310805495914179,0.1412741469787007,0.02453423579604635,6.90999101601518,0.004975124378109453,0.19761936764709062,0.6122428910167258
103,32,0.5991769403732435,0.3978620282723599,0.011464832652872337,17.559341526929945,0.004975124378109453,-0.017594635956535376,0.27477072183883045,0.1445293996872248,0.020670522718862095,6.300823831259908,0.004975124378109453,0.1718032321724448,0.6084284764989635
87,16,0.5974064439135807,0.3931746837941145,0.011709756216702373,17.441162423873294,0.004975124378109453,-0.031093678652962642,0.35785358989985233,0.07061644174023753,0.025509231234062284,11.26012561978227,0.004975124378109453,0.1367526917515655,0.5976554945932924
115,32,0.5966433622874765,0.39948760228159486,0.01105042317927113,17.84146695628047,0.004975124378109453,-0.00813218191833992,0.27681638602952907,0.12407382511804163,0.023677182754197314,6.451044556152289,0.004975124378109453,0.1837397132218812,0.5885736374077791
107,16,0.5963464904174474,0.3865657234996435,0.01109535458947833,18.907080907241838,0.004975124378109453,-0.029847921139360467,0.27961197993701653,0.054568025459583384,0.02460159438896981,9.14753535560818,0.004975124378109453,0.16853139890068236,0.6004012354578983
91,16,0.5886351202548418,0.3895996793204982,0.011268654617075586,17.66275102910171,0.004975124378109453,-0.03516310654530652,0.27640672769878033,0.05850609069624184,0.0226110034238682,9.636929105610694,0.004975124378109453,0.21740211956657596,0.5987567387021601
119,32,0.5865955763263411,0.4004954393192217,0.01021941498751339,18.210449153352332,0.004975124378109453,-0.0002750580360330046,0.2789725264216609,0.12809130847776107,0.020694597125122605,7.2908507003856915,0.004975124378109453,0.16073265621051244,0.5901903412032493
95,32,0.5863434685597823,0.39495465127723395,0.010689469948707207,17.90442540190639,0.004975124378109453,-0.04984549485467549,0.259140233987546,0.14034851610652932,0.02226264805587762,5.335920398276886,0.004975124378109453,0.24252391849731234,0.5892792923968455
91,32,0.5841017792819079,0.39471574764670847,0.010320314838505812,18.35079981558188,0.004975124378109453,-0.032984129686287555,0.23184458473432906,0.129322483961901,0.02105421014049743,4.86943466832928,0.004975124378109453,0.21874960928674067,0.5929702422187203
111,32,0.577735385320299,0.39503891017563036,0.010768285466750823,16.96616194925177,0.004975124378109453,-0.026674259755374907,0.2745936636631849,0.12201324652072681,0.02150635726462366,7.0946657895171015,0.004975124378109453,0.1557565235226768,0.59390523591084
107,32,0.5765402150476598,0.3945579268715115,0.009721285585893918,18.71998169050953,0.004975124378109453,-0.00436025264006018,0.24642381792854826,0.13402717652891596,0.021736871226633647,5.1707828706237855,0.004975124378109453,0.20889092912283871,0.5817555694854608
