raw	permuted
00001011111000000111111110010111111111000001110011000011110111	11001011010111011010100010111011101100110100101111100001110110
00001101111000011111111110010111111111000001100001000011000010	10011111010101011010100010111010001100010100101011101001110010
00001001111000101101110100010111111111001001110000000011100000	11011010011001011010100010111011001100010101001010100000110010
00111000111010001011110100010111111111000001110001101011100111	11111011010101011000100010111011101100111100000010110101111010
10101001111001101111110110011011111011001000110000000011100011	11011000111101011110100000111011001100110101011011100101010010
10001000111001001111110110010111111111000001010001000111100010	11011011110101111100100010111001001100010100001011100001110010
00001000111000011111111110000111111111001001110001000011110100	11011111010011011000100010011011101100010101101011100001110010
10001011011001001011111110010011111111000000110001000011100000	11011001110001011110100010111011001100010100100001100001010110
00001000111001101011111100010111111111000000110001100011101010	11011011111101011001100010111011001100010100100010110001010010
10101001111001101111111110010111111111000000000001000011100011	11011011111101011110100010111000001100110100101011100101010010
00001001111001101011110110100111111111001001100001000011100101	11011011111001011010100010011010111100110101000011100001110010
00001001111001001001111110010111111111001000100001101011000000	10011011110001011010100010111010001100011101100011110000010010
00001000111001001101110100010101111111000001110001100011100000	11011011110001011000100010111011001100010100001010110000110000
10001001111001001011110110010111111111000000110101100011100001	11011011110001011110100010111011001100110100000011110011010010
10000001011001001011110110000011111111100001100000000011100110	11010000110101011110100010011010101101010100000001100001110010
00001101111000001001110110010011111111000001100001000011100111	11011001010101011010100010111010101100110100000011101000110010
00001100111000001001111110010111111111011001000001000011000001	10011011010001011000100010111000001110110101100011101000110010
00001010011000001011111100000111111101000001110001000011100110	11011011010101011000100010011011100100010100100000100001110110
10001101111000101011110100010111111011000000010001000011100000	11011011011001011110100000111001001100010100000010101001010010
00001010111001001011110110000111111111001000110001100011110110	11011011110111011000100010011011101100010101000011110001010110
10101001111000001001111110010111111101000001010000000011000011	10011010010101011110100010111001000100110100100011100100110010
00000001111000001011110110010111111111000000100001000011100010	11010011010101011010100010111010001100010100000011100001010010
10000000011001101011111100010111111111000001110001100001110000	11010011111011010100100010111011001100010100100000110001110010
00101101111011101011111110000111111111000001110000000011100000	11011010111001011010100010011011001100010100100011101101111010
10101011011000101011110110110111111011001001110001000011100110	11011011011101011110100000111011111100010101000001100101110110
00101011111000100011111110010111111111001001110001001011100010	11001011011101011010100010111011001100011101100011100101110110
00101000011001001011110110000111111111000000110001100011100000	11011011110001011000100010011011001100010100000001110101010010
00000001111000001001110110010111111111000001110001100011100110	11010011010101011010100010111011101100010100000011110000110010
10001000111011011111111110010111111101000001110001000011100110	11011111110101011100100010111011100100010100101011100001111010
00001001111001101101111110010011111101001001110001100011100010	11011001111101011010100010111011000100010101101011110000110010
00001001111000001001110110010111111111000001110000000011100011	11011010010101011010100010111011001100110100000011100000110010
10101101011001101001110110110111111111001001110001100011100011	11011011111101011110100010111011011100110101000001111100110010
00001001011001101001111110000111111111001001100011100011100010	11011011111101011010100010011010001100010101100101110000110010
00001100111000001001110100000111111101001001110001100011100011	11011011010101011000100010011011000100110101000010111000110010
10101000111001001011110110010111101111001000100001100011100111	11011011110101011100000010111010101100110101000011110101010010
00101001111001101011110100010111111111000001100001001111100000	11011011111001111010100010111010001100011100000010100101110010
00001011111000101101111110000101111111001000100001000011110011	11011011011111011010100010011010001100110101101011100000010100
00001001111000001011111110001011111111000001110001000011100010	11011001010101011010100010011011001100010100110011100001110010
10001011111000001011110110000111111111101000100001000011100001	11011011010001011110100010011010001101110101000011100001010110
10101011111000001001110110110111111111001000100101000011110000	11011011010011011110100010111010011100010101000011100110010110
