start,window,score,null_mean,null_std,z,empirical_p,mismatched_score
0,64,0.375,0.0986328125,0.031103170683428723,8.88549885517762,0.058823529411764705,0.21875
0,128,0.1875,0.0966796875,0.023502513994517693,3.8642807540157267,0.058823529411764705,0.171875
0,256,0.14453125,0.057373046875,0.007643850237401497,11.402395444449361,0.058823529411764705,0.09765625
64,64,0.171875,0.1513671875,0.05125976469476328,0.40007621225181095,0.5294117647058824,0.09375
64,128,0.109375,0.076171875,0.012916246632955463,2.570648110363819,0.058823529411764705,0.15625
64,256,0.109375,0.0615234375,0.015329231929959832,3.121589047555456,0.058823529411764705,0.09375
128,64,0.15625,0.1142578125,0.03595730885224634,1.1678345471445548,0.17647058823529413,0.15625
128,128,0.0703125,0.076171875,0.017469281074217108,-0.33541019662496846,0.8235294117647058,0.09375
128,256,0.11328125,0.051513671875,0.007162937820661034,8.623218527296913,0.058823529411764705,0.08984375
256,64,0.25,0.0869140625,0.01506145181345964,10.82803567145224,0.058823529411764705,0.359375
256,128,0.078125,0.0693359375,0.013643944684822641,0.6441731261031017,0.4117647058823529,0.1015625
256,256,0.171875,0.052978515625,0.006046281126629789,19.664398972674494,0.058823529411764705,0.15234375
