panel_id,q,region,old_2q,permutation_count,bqskit_2q,bqskit_fidelity,bqskit_runtime_s,numerical_2q,numerical_fidelity,numerical_infidelity,numerical_runtime_s,numerical_restarts,winning_permutation,exact_reduction,numerical_reduction,error_ledger
q3_away_03,3,away,2,6,2,0.9999999999999999,5.294356666970998,1,0.7071067736707196,0.2928932263292804,0.5368192919995636,2,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_04,3,away,3,6,4,1.0,8.759075291920453,2,0.9843542794869617,0.015645720513038253,0.456373666995205,1,"(0, 2, 1)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_05,3,away,4,6,5,0.99999999996967,15.736779041937552,3,0.9999999139610198,8.603898016268374e-08,0.807138166972436,1,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_06,3,away,2,6,2,1.0,5.012890457990579,1,0.707106781186547,0.292893218813453,0.41265529196243733,2,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_07,3,away,3,6,5,1.0,7.1498565000947565,2,0.7071066722439096,0.29289332775609045,0.4724930829834193,1,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_08,3,away,2,6,2,0.9999999999999992,10.536883707973175,1,0.7071067796372963,0.2928932203627037,0.3708795829443261,2,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_09,3,away,3,6,3,0.9999999999999999,9.845718417083845,2,0.8909633846366035,0.10903661536339648,0.8832610000390559,1,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_10,3,away,2,6,2,0.9999999999999999,6.819967042072676,1,0.7071067809385702,0.29289321906142984,0.459260290954262,2,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_11,3,away,3,6,3,0.999999999999996,6.762066125054844,2,0.7071067478260366,0.29289325217396345,0.5231567909941077,1,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_12,3,away,2,6,2,1.0,6.643283999990672,1,0.7071067811863817,0.2928932188136183,0.47632720798719674,2,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_13,3,away,3,6,3,1.0000000000000002,8.101276832981966,2,0.8913234393859563,0.10867656061404374,0.4671002080431208,1,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_14,3,away,2,6,2,0.9999999999999999,6.059240332921036,1,0.7071067811865464,0.29289321881345365,0.4014877920271829,2,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_15,3,away,3,6,3,0.9999999999184219,7.005620082956739,2,0.7071067805408784,0.2928932194591216,0.49327820795588195,1,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_16,3,away,2,6,2,0.9999999999999998,6.0979410000145435,1,0.7071067811865472,0.29289321881345276,0.44622883398551494,2,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_17,3,away,3,6,5,1.0000000000000002,10.16525029100012,2,0.7071067811865155,0.2928932188134845,0.458582291030325,1,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_18,3,away,2,6,2,0.9999999999999998,6.083105915924534,1,0.7071067811865472,0.29289321881345276,0.46590354200452566,2,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q3_away_19,3,away,3,6,5,0.9999999999696709,9.27732474997174,2,0.707041684065856,0.292958315934144,0.3958164589712396,1,"(0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_00,4,midpoint,2,24,2,0.9999999999999998,5.737286458956078,1,0.7071067766079216,0.29289322339207835,0.6127004589652643,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_01,4,midpoint,3,24,5,1.0,8.35987958300393,2,0.6630976480105228,0.33690235198947716,1.8217413750244305,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_02,4,midpoint,4,24,7,1.0,9.422915457980707,3,0.7071066982501993,0.29289330174980066,2.8416175841121003,1,"(0, 2, 1, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_03,4,midpoint,5,24,3,1.0000000000000002,5.410145208938047,4,0.7071056855059419,0.2928943144940581,3.1933634999440983,1,"(1, 0, 2, 3)",True,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_04,4,midpoint,2,24,2,1.0,4.1560897920280695,1,0.7071067811294306,0.2928932188705694,1.048671166994609,2,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_05,4,midpoint,3,24,3,0.999999999996644,5.452311791013926,2,0.7071067811466415,0.2928932188533585,1.1551762919407338,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_06,4,midpoint,4,24,7,0.9999999999549186,24.128757124999538,3,0.7070942461872537,0.2929057538127463,1.9839661250589415,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_07,4,midpoint,6,24,5,0.999999999983308,5.997011707979254,5,0.7071026860930569,0.29289731390694307,5.15610441705212,1,"(3, 1, 2, 0)",True,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_08,4,midpoint,2,24,2,1.0,4.87277166696731,1,0.7071067254542663,0.29289327454573366,0.5234156670048833,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_midpoint_09,4,midpoint,3,24,3,1.0,5.0782031250419095,2,0.7071066539970543,0.2928933460029457,1.2632777079707012,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_00,4,away,2,24,2,0.9999999999999998,4.976381374988705,1,0.7071067810437051,0.29289321895629494,0.9186155420029536,2,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_01,4,away,3,24,5,0.9999999999999964,14.03040070796851,2,0.7071067798343382,0.29289322016566177,1.1498949999222532,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_02,4,away,4,24,4,1.0,7.659193458035588,3,0.8558665750679518,0.14413342493204817,1.9831470840144902,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_03,4,away,5,24,TIMEOUT_AFTER_120S,,,4,0.44891289510896326,0.5510871048910367,0.8002789170714095,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_04,4,away,2,24,TIMEOUT_AFTER_120S,,,1,0.22884610618203996,0.7711538938179601,0.1247949170647189,1,"(3, 0, 1, 2)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_05,4,away,3,24,TIMEOUT_AFTER_120S,,,2,0.44877449031278793,0.5512255096872121,0.33390866697300225,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_06,4,away,4,24,TIMEOUT_AFTER_120S,,,3,0.30013266590583376,0.6998673340941662,0.5125108329812065,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_07,4,away,5,24,TIMEOUT_AFTER_120S,,,4,0.3195534442245802,0.6804465557754198,0.9304963749600574,1,"(0, 1, 2, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_08,4,away,2,24,TIMEOUT_AFTER_120S,,,1,0.23446228680614162,0.7655377131938583,0.1280815419740975,1,"(0, 3, 2, 1)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
q4_away_09,4,away,3,24,TIMEOUT_AFTER_120S,,,2,0.36339769659397037,0.6366023034060296,0.32880470901727676,1,"(2, 1, 0, 3)",False,False,"{""1e-8"": false, ""1e-6"": false, ""1e-4"": false}"
